cluster,"Grado de Madurez Recolección, depósito y tratamiento de residuos 2025",Grado de Madurez Aseo de Vías y Sitios Públicos 2025,Grado de Madurez Urbanismo 2025,Grado de Madurez Red Vial Cantonal 2025,Grado de Madurez Alcantarillado Pluvial 2025,Grado de Madurez Servicios Sociales y Complementarios 2025,"Grado de Madurez Educativos, culturales y deportivos 2025",Grado de Madurez Agua Potable 2025,Grado de Madurez Zona Marítimo Terrestre 2025,Grado de Madurez Seguridad y Vigilancia en la comunidad 2025,promedio_general_cluster,perfil_cluster
0,3.12,2.31,3.44,2.31,1.25,4.19,3.44,0.62,0.0,2.94,2.36,Desempeño medio
1,2.16,1.21,2.25,1.65,0.24,2.31,1.97,0.76,0.47,0.81,1.38,Desempeño bajo
